loanId,bookId,memberId,checkout_date,due_date,checkin_date,status,overdue_days,is_overdue,penalty_amount
1,880250,1,2026-08-16,2026-08-30,,Borrowed,0,false,0.0
2,29738,5,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
3,28675749,5,2026-08-25,2026-09-08,,Borrowed,0,false,0.0
4,1212220,8,2026-08-17,2026-08-31,,Borrowed,0,false,0.0
5,32920226,10,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
6,16297978,10,2026-08-15,2026-08-29,,Borrowed,0,false,0.0
7,9265069,12,2026-08-21,2026-09-04,,Borrowed,0,false,0.0
8,1178130,12,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
9,114511,13,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
10,24152,13,2026-08-21,2026-09-04,,Borrowed,0,false,0.0
11,131191,19,2026-08-11,2026-08-25,,Borrowed,3,true,1.5
12,6420553,22,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
13,26863057,26,2026-08-17,2026-08-31,,Borrowed,0,false,0.0
14,38395454,26,2026-08-10,2026-08-24,,Borrowed,4,true,2.0
15,202197,27,2026-08-21,2026-09-04,,Borrowed,0,false,0.0
16,1089892,27,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
17,116561,27,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
18,852401,32,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
19,539387,35,2026-08-20,2026-09-03,,Borrowed,0,false,0.0
20,106835,35,2026-08-10,2026-08-24,,Borrowed,4,true,2.0
21,28645638,38,2026-08-17,2026-08-31,,Borrowed,0,false,0.0
22,8963,39,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
23,30189,39,2026-08-15,2026-08-29,,Borrowed,0,false,0.0
24,129650,40,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
25,7420106,41,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
26,1195044,41,2026-08-21,2026-09-04,,Borrowed,0,false,0.0
27,7306325,41,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
28,2044121,43,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
29,86336,43,2026-08-13,2026-08-27,,Borrowed,1,true,0.5
30,205012,46,2026-08-20,2026-09-03,,Borrowed,0,false,0.0
31,2452401,46,2026-08-14,2026-08-28,,Borrowed,0,false,0.0
32,717811,46,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
33,130208,46,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
34,82748,46,2026-08-21,2026-09-04,,Borrowed,0,false,0.0
35,11980440,47,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
36,827985,47,2026-08-14,2026-08-28,,Borrowed,0,false,0.0
37,606935,47,2026-08-17,2026-08-31,,Borrowed,0,false,0.0
38,33954256,47,2026-08-17,2026-08-31,,Borrowed,0,false,0.0
39,1002539,47,2026-08-16,2026-08-30,,Borrowed,0,false,0.0
40,136216,49,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
41,5422154,49,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
42,18388426,54,2026-08-11,2026-08-25,,Borrowed,3,true,1.5
43,30220282,54,2026-08-19,2026-09-02,,Borrowed,0,false,0.0
44,3769869,56,2026-08-18,2026-09-01,,Borrowed,0,false,0.0
45,62162,59,2026-08-12,2026-08-26,,Borrowed,2,true,1.0
46,868698,59,2026-08-13,2026-08-27,,Borrowed,1,true,0.5
47,23172825,61,2026-08-26,2026-09-09,,Borrowed,0,false,0.0
48,117710,62,2026-08-22,2026-09-05,,Borrowed,0,false,0.0
49,193755,62,2026-08-14,2026-08-28,,Borrowed,0,false,0.0
50,684509,62,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
51,857705,63,2026-08-10,2026-08-24,,Borrowed,4,true,2.0
52,2475768,64,2026-08-24,2026-09-07,,Borrowed,0,false,0.0
53,15754052,66,2026-08-23,2026-09-06,,Borrowed,0,false,0.0
54,999505,67,2026-08-11,2026-08-25,,Borrowed,3,true,1.5
